,PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,outdoor_fa,outdoor_le,night_life,water,mig_rate,ave_rent,social_hou,public_hou,five_y_pls,rent_to_pr,dyn_r_to_p,sales,dyn_sales,unemployme,welfare,child_pov,dyn_unempl,dyn_welfar,dyn_child,B_1940,B_1941_199,B_1991_201,vegpm20,other_sch,vocat_sch,primary_sc,Gymnasium,secon_sch,priv_schoo,sp_nee_sch,kita,stations,PLR_NAME,BZR_NAME
49,4300416,113,270,12,3,76,37,2,203,3,54,6,41.95,13.07,4.71,6.8,64.77,1.89,98.67,1.0550000000000002,72.07,3.42,6.98,16.08,1.16,-0.54,-1.74,79.3,16.05,4.65,2.79,0,1,3,0,2,2,0,43,5,Amtsgerichtsplatz,Schloss Charlottenburg
50,4501148,88,65,2,1,71,21,2,96,3,11,1,44.9,12.9,3.15,3.94,65.67,2.75,101.72,1.018663810905302,70.37,4.21,9.99,24.05,0.82,0.18,0.46,57.94,32.17,9.9,3.14,0,0,2,3,0,0,1,30,3,Brabanter Platz,Volkspark Wilmersdorf
51,8401244,126,15,0,0,23,17,0,154,5,4,0,24.85,7.9,18.57,9.78,73.56,0.03,12.5,0.2,10.65,2.34,4.27,11.1,0.61,-0.32,1.03,17.08,62.64,20.28,2.17,0,0,4,1,1,0,0,11,1,Waßmannsdorfer Chaussee,Rudow
52,9301024,70,8,0,3,9,12,0,77,0,0,0,14.05,11.56,8.94,23.25,67.94,0.1,4.04,0.101,4.44,1.21,2.61,3.4,0.42,-0.25,-0.21,30.96,22.08,46.96,2.58,0,0,1,0,1,0,0,4,3,Falkenberg,Bohnsdorf
53,6400843,156,51,1,1,19,22,0,151,2,4,3,30.62,11.45,2.47,2.07,69.69,0.86,22.74,0.4650205370809636,21.32,0.7,1.41,0.91,0.34,0.13,-0.62,65.05,28.32,6.64,3.79,0,0,4,0,1,1,1,13,4,Thielallee,Zehlendorf Nord
54,12200412,175,40,2,0,21,26,0,71,11,14,1,33.63,8.25,4.12,17.57,65.06,0.55,22.88,0.48399805513455874,39.85,2.58,7.18,17.9,-0.1,-0.15,-1.5,47.44,36.54,16.02,5.85,0,0,5,0,2,3,0,12,6,Waldidyll/Flughafensee,West 1 - Tegel-Süd/Flughafensee
55,12200515,114,50,4,3,24,16,0,149,10,15,3,24.25,8.25,4.12,17.6,65.07,0.55,22.87,0.4837171836355701,39.82,3.22,6.84,18.37,0.6,-0.58,-0.99,53.93,35.0,11.07,2.45,0,0,3,1,2,3,0,14,3,Alt-Tegel,West 5 - Tegel
56,7501135,72,11,0,0,9,10,0,3,4,5,0,23.97,8.3,8.05,10.11,68.32,0.91,24.87,0.3907071835653915,37.17,2.28,4.16,10.48,1.12,-0.08,-1.83,20.4,68.87,10.74,2.17,0,0,1,0,0,0,0,8,0,Birnhornweg,Mariendorf Süd
57,8200725,91,13,0,1,2,11,0,90,2,7,1,38.75,8.67,10.47,15.16,70.38,0.75,28.97,0.350015442089818,17.99,4.62,6.35,14.42,2.51,0.37,-0.08,24.57,48.55,26.88,2.04,0,0,2,0,1,0,0,8,0,Mohriner Allee Nord,Britz
58,3701658,27,191,8,6,55,25,5,148,8,49,5,33.6,11.26,0.39,12.77,61.17,2.93,88.38,0.881,59.9,2.76,4.85,6.54,0.75,0.07,1.02,85.85,7.76,6.39,1.53,0,0,7,1,1,5,0,50,9,Christburger Straße,Prenzlauer Berg Süd
59,5100312,54,10,0,1,11,6,0,89,4,8,0,41.02,7.99,5.95,12.59,63.56,0.7,14.0,0.403,33.4,7.06,17.39,39.19,0.91,-3.07,-5.31,27.62,65.17,7.21,2.63,0,0,4,0,1,0,1,9,0,Eckschanze,Spandau Mitte
60,3601449,66,35,3,3,30,22,1,255,6,12,4,19.42,10.49,0.63,15.44,61.3,1.29,84.69,0.6938574112847273,66.04,7.2,10.57,35.38,1.93,-0.85,-1.73,19.45,79.41,1.14,4.25,0,2,3,1,1,5,0,26,6,Michelangelostraße,Prenzlauer Berg Ost
61,4501151,104,79,4,1,102,24,0,117,2,17,1,33.39,12.9,3.14,3.93,65.66,2.76,101.87,1.019,70.4,2.64,5.84,9.65,0.45,0.11,-0.63,84.23,15.41,0.36,3.0,0,2,3,3,2,0,1,44,3,Hildegardstraße,Volkspark Wilmersdorf
62,11400928,95,17,1,4,13,12,0,343,25,9,0,24.81,9.49,2.03,31.0,61.24,0.82,38.59,0.2156487646978348,20.81,3.16,6.44,12.64,1.54,-1.53,1.92,36.3,28.37,35.34,2.37,0,2,2,1,0,0,0,19,9,Nöldnerplatz,Neu-Lichtenberg
