PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,schools,universiti,kindergart,outdoor_fa,outdoor_le,night_life,water,ave_rent,social_hou,public_hou,dyn_ew,five_y_pls,dyn_sales,child_pov,dyn_unempl,noise,air,green,bio,B_age,mig_rate,label,PLR_NAME,BZR_NAME
02200207,147,136.0,15.0,4.0,32.0,31,1.0,5.0,3.0,21.0,279.0,18.0,37.0,4.0,14.404973797450438,5.641668172946229,4.924361023060338,2.409927874388668,63.393837483427994,48.02081056442549,6.17,0.1,1,2,1,2,B_1991_2015,0.401480388113835,1,Gleisdreieck,Tempelhofer Vorstadt
12200413,62,10.0,2.0,2.0,5.0,10,0.0,1.0,2.0,1.0,31.0,8.0,2.0,0.0,8.25,4.12,17.57,5.46,65.06,39.85,42.69,1.38,1,1,1,2,B_1941_1990,0.411428060589288,0,Tegel Süd,West 1 - Tegel-Süd/Flughafensee
04500937,121,148.0,7.0,0.0,72.0,36,4.0,2.0,0.0,29.0,114.0,3.0,34.0,5.0,13.069423880287212,4.712704107681639,6.801844406077288,3.371143379566492,64.77296179658734,72.05808862643548,9.61,0.81,1,2,2,1,B_1940,0.441608030975143,3,Halensee,Halensee
03400830,117,26.0,0.0,1.0,32.0,16,2.0,2.0,0.0,7.0,42.0,12.0,7.0,0.0,10.504060487290845,1.678472298998386,20.19009274736047,6.009817452309654,66.12380767014808,29.34740435006097,18.82,1.18,2,1,2,2,B_1940,0.196906648922115,2,Kissingenviertel,Pankow Süd
03500936,80,35.0,3.0,3.0,39.0,17,0.0,1.0,0.0,11.0,324.0,5.0,9.0,2.0,10.288207356554338,1.730004006060626,21.105075706128993,5.914416067896091,63.24929496636163,22.3135761720674,15.56,0.48,1,1,1,2,B_1940,0.208984606159421,2,Komponistenviertel Weißensee,Weißensee
10200420,84,13.0,1.0,1.0,11.0,10,0.0,1.0,1.0,5.0,317.0,11.0,6.0,3.0,8.619154575075372,2.54908850102278,38.32815959712141,6.438009109687991,65.45305362717365,6.068404905141215,48.57,2.61,1,1,0,2,B_1941_1990,0.249807434898162,0,Gut Hellersdorf,Hellersdorf Nord
01200517,191,157.0,7.0,11.0,79.0,48,2.0,3.0,0.0,48.0,387.0,8.0,61.0,12.0,14.506019854725455,6.70217603442783,4.549853437650017,6.053098605665728,59.17367963792931,52.29750464853423,58.7,1.58,1,1,2,2,B_1940,0.576172104023171,4,Huttenkiez,Moabit West
04300619,105,104.0,7.0,3.0,40.0,32,3.0,4.0,3.0,29.0,174.0,5.0,29.0,3.0,13.07,4.71,6.8,3.37,64.77,72.07,21.89,0.75,1,2,0,2,B_1941_1990,0.455188372039137,3,Alt-Lietzow,Otto-Suhr-Allee/Kantstraße
06100205,98,26.0,1.0,1.0,25.0,16,1.0,0.0,0.0,8.0,69.0,3.0,6.0,2.0,10.797290626017055,2.007540928611415,1.406678402643156,2.51042727851047,67.92162848613138,60.425797467464,17.7,1.1,1,1,2,2,B_1941_1990,0.336806005691413,2,Südende,Albrechtstraße
04300624,184,326.0,14.0,3.0,63.0,44,2.0,3.0,5.0,16.0,183.0,7.0,53.0,11.0,13.07,4.71,6.8,3.37,64.77,72.07,14.5,0.97,1,2,2,2,B_1940,0.462787385132851,1,Savignyplatz,Otto-Suhr-Allee/Kantstraße
10200419,55,9.0,1.0,1.0,12.0,6,0.0,1.0,1.0,3.0,127.0,1.0,5.0,1.0,8.62,2.55,38.33,6.44,65.45,6.07,34.07,-0.55,1,1,0,2,B_1941_1990,0.249944188181874,0,Havelländer Ring,Hellersdorf Nord
04200207,126,22.0,2.0,2.0,5.0,23,0.0,1.0,0.0,5.0,136.0,4.0,3.0,5.0,0.994102693896421,0.226551119746437,0.338887419862149,-7.745614083877443,70.52424050436485,6.143680207210709,3.16,-0.08,1,0,0,0,B_1940,0.385951610128674,2,Eichkamp,Heerstraße
02200211,143,185.0,11.0,8.0,41.0,38,1.0,2.0,0.0,36.0,180.0,7.0,50.0,2.0,14.083305794000626,5.393805190554121,5.545337700553937,2.368762452246156,63.669443157047496,47.27870774177835,17.35,1.26,0,1,2,1,B_1940,0.41843774737315,1,Chamissokiez,Tempelhofer Vorstadt
03601141,36,118.0,7.0,3.0,68.0,23,8.0,3.0,1.0,32.0,158.0,8.0,40.0,2.0,10.489999923606401,0.630009350368673,15.440044312176123,3.960018911538364,61.300042981910245,66.04965922436361,9.68,0.96,1,1,2,2,B_1940,0.32752671070694,3,Arnimplatz,Prenzlauer Berg Nordwest
11401137,92,14.0,0.0,3.0,24.0,19,0.0,0.0,0.0,2.0,651.0,36.0,5.0,7.0,9.490039619171293,2.03988837066805,31.10905319727608,9.990042657830054,61.22016844128259,20.7108869308955,38.09,1.18,1,1,0,2,B_1941_1990,0.287823555313902,0,Erieseering,Friedrichsfelde Süd
10100311,149,19.0,1.0,3.0,21.0,24,0.0,2.0,1.0,4.0,354.0,12.0,3.0,1.0,7.216482123102832,1.031544425375396,35.249841874178315,3.136637496317563,70.5104541852369,3.437585512037913,9.24,1.85,2,1,0,2,B_1941_1990,0.29550148375337,0,Marzahner Chaussee,Marzahn Süd
09100306,80,6.0,0.0,1.0,0.0,13,0.0,0.0,0.0,1.0,33.0,2.0,2.0,0.0,10.719106364101027,0.603958891811271,18.7082801288554,6.039169207888262,65.15213931454666,36.0005942334509,22.49,2.42,1,2,0,1,B_1991_2015,0.306929255817973,0,Späthsfelde,Baumschulenweg
03400724,90,25.0,0.0,1.0,19.0,18,0.0,1.0,0.0,10.0,108.0,13.0,4.0,2.0,10.508084510948974,1.652410322031937,20.237450459711255,6.009941375667695,66.10768266245489,29.4372290710127,15.41,0.81,3,1,1,2,B_1940,0.176389770327307,2,Wolfshagener Straße,Pankow Zentrum
01200628,155,63.0,2.0,1.0,16.0,19,0.0,0.0,1.0,9.0,717.0,3.0,7.0,11.0,14.537718414599077,6.667173136994244,4.467655022311956,6.094615074936301,59.11860890625976,52.34380838032812,13.39,-0.42,1,2,0,2,B_1941_1990,0.424294452608673,2,Lüneburger Straße,Moabit Ost
08401241,149,18.0,0.0,0.0,10.0,13,0.0,1.0,0.0,3.0,70.0,6.0,3.0,1.0,7.901761826364527,18.556424168388038,9.78809634201716,1.931964434123147,73.554249437947,10.666618514463408,15.93,0.77,1,1,0,1,B_1941_1990,0.363501791705735,2,Blumenviertel,Rudow
04400726,146,41.0,1.0,1.0,38.0,25,0.0,0.0,0.0,10.0,61.0,4.0,9.0,4.0,12.38172012699535,7.94192320503993,9.00449084566906,4.736584818747361,68.31115071673179,57.83557325136615,12.15,0.79,1,1,0,0,B_1941_1990,0.425791541186605,2,Bismarckallee,Grunewald
